CountyFIPS,County,CNTY,VTD,CNTYVTD,VTDKEY,total,anglo,nanglo,asian,black,hisp,bh,vap,anglovap,nanglovap,asianvap,blackvap,hispvap,bhvap
15,AUSTIN,15,0206,150206,121,1613,1362,251,5,45,136,180,1304,1121,183,4,32,93,125
29,BEXAR,29,3058,293058,662,6314,2109,4205,686,519,3010,3451,5554,1913,3641,544,452,2625,3016
29,BEXAR,29,3064,293064,668,564,268,296,16,15,266,273,444,229,215,13,5,193,197
61,CAMERON,61,0043,610043,1455,2729,195,2534,13,15,2497,2503,1917,144,1773,13,7,1744,1750
103,CRANE,103,0004,1030004,1996,1190,292,898,8,21,858,876,833,233,600,6,14,568,582
439,TARRANT,439,3212,4393212,8285,3742,1945,1797,226,941,522,1403,3010,1741,1269,176,610,377,955
453,TRAVIS,453,0254,4530254,8826,6575,2704,3871,1220,658,1963,2547,5409,2350,3059,994,525,1483,1965
501,YOAKUM,501,0406,5010406,9613,1112,282,830,19,18,785,801,786,230,556,16,12,522,533
303,LUBBOCK,303,0154,3030154,6613,6161,3599,2562,408,309,1750,2026,4200,2642,1558,278,175,1018,1185
305,LYNN,305,0004,3050004,6619,1317,974,343,4,13,311,320,887,668,219,2,3,202,204
355,NUECES,355,0045,3550045,7160,1275,104,1171,4,60,1115,1160,972,88,884,4,36,845,876
355,NUECES,355,0039,3550039,7154,1257,403,854,28,57,767,820,1063,374,689,24,47,614,659
439,TARRANT,439,4242,4394242,8488,1017,711,306,30,62,181,241,845,624,221,27,45,119,164
439,TARRANT,439,1301,4391301,7947,3587,340,3247,60,1729,1460,3164,2587,293,2294,49,1316,915,2222
113,DALLAS,113,2105,1132105,2291,3031,1756,1275,281,495,478,941,2850,1678,1172,264,444,429,855
157,FORT BEND,157,2059,1572059,3662,3216,131,3085,59,2340,732,3017,2522,114,2408,38,1875,509,2353
157,FORT BEND,157,1038,1571038,3619,12075,4262,7813,3546,1079,3045,4043,8055,3030,5025,2243,714,1983,2641
